http://cv.iptc.org/newscodes/mediatopic/01000000,medtop:01000000,medtop:01000000,,,,,"arts, culture and entertainment","Matters pertaining to the advancement and refinement of the human mind, of interests, skills, tastes and emotions ",,,,,"Kultur, Kunst, Unterhaltung","Sachverhalte, die die VerŠnderung und Weiterentwicklung des menschlichen Geistes, der Interessen, des Geschmacks, der FŠhigkeiten und der GefŸhle betreffen",,,,,subj:01000000,http://cv.iptc.org/newscodes/subjectcode/01000000
http://cv.iptc.org/newscodes/mediatopic/20000002,medtop:20000002,,medtop:20000002,,,,arts and entertainment,"The collective expression of message or emotion through fine or performing arts, possibly for the amusement or relaxation of people. ",,,,,Kunst und Unterhaltung,"Zusammenfassender Ausdruck einer Botschaft oder eines GefŸhls durch fine or performing arts, possibly for the amusement or relexation of people",,,,,subj:01000000,http://cv.iptc.org/newscodes/subjectcode/01000000
http://cv.iptc.org/newscodes/mediatopic/20000003,medtop:20000003,,,medtop:20000003,,,animation,"Using animated drawings, including full-length and short cinema,  to express message or emotion ",,,,,Animation,"Zeichentrickfilm, auch Kurzfilmkino, KŸnstler und Vermarktung von Produkten rund um Zeichentrickfiguren",,,,,subj:01025000,http://cv.iptc.org/newscodes/subjectcode/01025000
http://cv.iptc.org/newscodes/mediatopic/20000004,medtop:20000004,,,medtop:20000004,,,cartoon,Still images such as editorial cartoons and comic strips to express message or emotion ,,,,,Comic,"Unbewegte Bilder, wie Karikaturen und Comics",,,,,subj:01024000,http://cv.iptc.org/newscodes/subjectcode/01024000
http://cv.iptc.org/newscodes/mediatopic/20000005,medtop:20000005,,,medtop:20000005,,,cinema,Moving pictures to express message or emotion ,,,,,Film,"Artikel, die sich im kŸnstlerischen und unterhaltenden Sinn auf Film beziehen",,,,,subj:01005000,http://cv.iptc.org/newscodes/subjectcode/01005000
http://cv.iptc.org/newscodes/mediatopic/20000006,medtop:20000006,,,,medtop:20000006,,film festival,"National and international motion pictures festivals, selections, festival juries, nominations, awards etc. ",,,,,Filmfestival,"Artikel Ÿber nationale und internationale Festivals der bewegten Bilder, deren Auswahl, Nomierungen, Preise, Auszeichnungen und Juries",,,,,subj:01005001,http://cv.iptc.org/newscodes/subjectcode/01005001
http://cv.iptc.org/newscodes/mediatopic/20000007,medtop:20000007,,,medtop:20000007,,,dance,The expression of emotion or message through movement of persons ,,,,,Tanz,Der Ausdruck von GefŸhlen durch Bewegung,,,,,subj:01006000,http://cv.iptc.org/newscodes/subjectcode/01006000
http://cv.iptc.org/newscodes/mediatopic/20000008,medtop:20000008,,,,medtop:20000008,,ballet,"A classical dance form based on formal gestures, steps and postures ",,,,,Ballett,"Eine klassische Tanzform auf der Grundlage vorgegebener Bewegungen, Schrifffolgen und Positionen",,,,,subj:01006000,http://cv.iptc.org/newscodes/subjectcode/01006000
http://cv.iptc.org/newscodes/mediatopic/20000009,medtop:20000009,,,,medtop:20000009,,modern dance,A theatrical dance style based on free-style expression rather than formal gestures ,,,,,Modern Dance,Ein theatralischer Tanzstil geprŠgt eher von freiem Ausdruck als von vorgegebenen Bewegungen,,,,,subj:01006000,http://cv.iptc.org/newscodes/subjectcode/01006000
http://cv.iptc.org/newscodes/mediatopic/20000010,medtop:20000010,,,,medtop:20000010,,traditional dance,A style of  dance usually performed as a social activity. Encompasses folk and ceremonial dance ,,,,,Standardtanz,"Tanzstil, der meist in Gesellschaft ausgefŸhrt wird. Umfasst Folklore und feierliche TŠnze",,,,,subj:01006000,http://cv.iptc.org/newscodes/subjectcode/01006000
http://cv.iptc.org/newscodes/mediatopic/20000011,medtop:20000011,,,medtop:20000011,,,fashion,Designing clothing and accessories to express message or emotion ,,,,,Mode,"Der Entwurf von Kleidern und Accessoires, um eine Botschaft oder ein GefŸhl auszudrŸcken",,,,,subj:01007000,http://cv.iptc.org/newscodes/subjectcode/01007000
http://cv.iptc.org/newscodes/mediatopic/20000012,medtop:20000012,,,,medtop:20000012,,jewellery,Accessories to clothing ,,,,,Schmuck,Accessoires zur Kleidung,,,,,subj:01007000,http://cv.iptc.org/newscodes/subjectcode/01007000
http://cv.iptc.org/newscodes/mediatopic/20000013,medtop:20000013,,,medtop:20000013,,,literature,The expression of emotion or message through written language ,,,,,Literatur,Der Ausdruck von GefŸhlen oder Botschaften durch das geschriebene Wort,,,,,subj:01010000,http://cv.iptc.org/newscodes/subjectcode/01010000
http://cv.iptc.org/newscodes/mediatopic/20000014,medtop:20000014,,,,medtop:20000014,,drama,Work written to be performed ,,,,,Drama,"Geschriebenes Werk, was aufgefŸhrt wird ",,,,,subj:01010000,http://cv.iptc.org/newscodes/subjectcode/01010000
http://cv.iptc.org/newscodes/mediatopic/20000015,medtop:20000015,,,,medtop:20000015,,fiction,Writings that are usually not based on fact but are the creation of the author's imagination ,,,,,Fiktion,"SchriftstŸcke, die nicht auf Fakten beruhen, sondern aus der der Vorstellungskraft des Autors entstehen",,,,,subj:01010001,http://cv.iptc.org/newscodes/subjectcode/01010001
http://cv.iptc.org/newscodes/mediatopic/20000016,medtop:20000016,,,,medtop:20000016,,non-fiction,Writings that are based on fact ,,,,,Non-Fiktion,"SchriftstŸcke, die auf Fakten beruhen ",,,,,subj:01010000,http://cv.iptc.org/newscodes/subjectcode/01010000
